base	21	55014	76.3	72102	72485	+0.5
job	16	17775	59.9	29674	29501	-0.6
base	21	56929	79.0	72062	72485	+0.6
job	16	18407	62.0	29689	29501	-0.6
base	22	2767	3.3	83848	85350	+1.8
job	16	24314	81.9	29687	29501	-0.6
base	22	60268	71.9	83822	85350	+1.8
job	17	13592	37.6	36149	36074	-0.2
base	23	46036	47.5	96918	99771	+2.9
job	18	448	1.0	44800	43607	-2.7
base	24	14425	13.0	110962	115855	+4.4
job	18	21980	50.5	43525	43607	+0.2
base	25	97596	77.1	126584	133715	+5.6
job	19	42580	82.0	51927	52176	+0.5
base	26	117560	81.9	143541	153462	+6.9
job	20	39029	63.5	61463	61856	+0.6
base	28	20905	11.5	181783	199083	+9.5
job	21	46455	64.5	72023	72726	+1.0
base	28	132921	73.3	181338	199083	+9.8
job	22	11359	13.5	84141	84864	+0.9
